pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
84.0,17374,-66.3,-90.8,270.0,36.0,36.0,6.613092715395707e-15,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
81.4,17565,-67.5,-92.5,254.0,38.0,36.527944445656125,10.474219521045958,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
79.9,17678,-66.7,-92.0,245.0,39.0,35.346003694429356,16.48211220788727,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
77.5,17862,-65.3,-91.3,243.0,36.0,32.07623487078124,16.34365799062369,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
72.2,18288,-65.7,-92.4,240.0,29.0,25.114736709748716,14.500000000000012,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
70.0,18480,-65.9,-92.9,235.0,34.0,27.851169505825712,19.501598835935578,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
68.8,18585,-66.3,-93.3,249.0,41.0,38.27679748638527,14.693085931357329,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
68.7,18593,-66.2,-93.3,250.0,42.0,39.46709007300815,14.36484601967808,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
64.9,18941,-62.5,-92.5,267.0,35.0,34.952033716410085,1.8317584685030508,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
62.2,19202,-64.2,-93.8,280.0,30.0,29.544232590366242,-5.209445330007899,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
58.3,19594,-66.7,-95.7,254.0,21.0,20.1864956147047,5.788384472156976,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
56.2,19812,-65.2,-94.6,240.0,16.0,13.856406460551016,8.000000000000007,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
53.5,20117,-63.1,-93.1,255.0,10.0,9.659258262890683,2.5881904510252065,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
50.9,20422,-65.0,-94.3,270.0,4.0,4.0,7.347880794884119e-16,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
50.0,20530,-65.7,-94.7,230.0,6.0,4.596266658713867,3.856725658119237,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
47.6,20828,-66.3,-95.3,245.0,11.0,9.969385657403151,4.648800879147691,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
46.0,21031,-65.8,-95.0,255.0,15.0,14.488887394336025,3.8822856765378093,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
43.8,21336,-65.1,-94.7,300.0,19.0,16.454482671904334,-9.500000000000002,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
41.6,21648,-64.3,-94.3,295.0,15.0,13.594616805549748,-6.3392739261104945,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
41.6,21641,-64.3,-94.3,295.0,15.0,13.594616805549748,-6.3392739261104945,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
39.6,21946,-62.5,-92.8,315.0,13.0,9.19238815542512,-9.192388155425116,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
