pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg],Temp Gradient [degC]
780.0,2154,13.6,8.7,72.0,9.13,225.0,59.0,307.9,335.9,309.5,14.718936449195565,0.013637311731146393,41.7193000900063,41.719300090006314,-1.1189364491955303,288.34699677500004,290.263649087879,2.4102145554587184 meter ** 2 / second ** 2,,-0.15000000000000036
770.0,2262,13.2,7.2,67.0,8.34,225.0,59.0,308.6,334.3,310.1,14.25632855637791,0.013402454956441935,41.7193000900063,41.719300090006314,-1.0563285563779345,287.80677699,289.75601828370856,9.55769472300191 meter ** 2 / second ** 2,,-0.8999999999999995
753.9,2438,11.8,6.0,68.0,7.86,225.0,59.0,308.9,333.3,310.4,13.499172782532591,0.013024001017601513,41.7193000900063,41.719300090006314,-1.699172782532571,286.31622127,288.92649744452126,16.349996764493053 meter ** 2 / second ** 2,,-1.8999999999999995
726.8,2743,9.4,4.0,69.0,7.09,225.0,58.0,309.6,331.6,310.9,12.189782781730713,0.012387200604694816,41.012193308819754,41.01219330881977,-2.7897827817307643,283.772000495,287.4958650709193,19.804830667486748 meter ** 2 / second ** 2,,-2.4000000000000004
700.0,3056,7.0,2.0,70.0,6.36,230.0,58.0,310.2,330.1,311.4,10.832491532026205,0.011744889518598426,44.43057770090072,37.28168136181929,-3.8324915320262107,281.23686994,286.0170507548647,45.30718174619776 meter ** 2 / second ** 2,,-2.1
684.0,3246,5.2,1.1,75.0,6.1,230.0,61.0,310.2,329.4,311.4,9.981544848494774,0.01134892821598389,46.72871103025765,39.21004419087891,-4.781544848494775,279.38574035,285.0916209911761,60.0434691621791 meter ** 2 / second ** 2,,-0.7000000000000002
668.0,3440,5.6,-2.4,56.0,4.83,230.0,65.0,312.8,328.3,313.7,9.10416443544515,0.010948510999913466,49.792888802733565,41.78119462962506,-3.5041644354451478,279.57128112500004,284.1392247581418,15.371827008720071 meter ** 2 / second ** 2,,0.6000000000000001
665.0,3477,6.4,-4.6,45.0,4.11,230.0,66.0,314.1,327.5,314.9,8.934377327467885,0.01087129817211296,50.55893324585254,42.423982239311606,-2.534377327467894,280.250859805,283.95501758659714,27.719307284091016 meter ** 2 / second ** 2,,0.40000000000000036
662.0,3514,6.4,-5.6,42.0,3.82,230.0,66.0,314.5,327.0,315.2,8.763554699021364,0.010793924441866545,50.55893324585254,42.423982239311606,-2.3635546990213925,280.20140740999994,283.7697564002425,1.1232219846735902 meter ** 2 / second ** 2,,-0.6000000000000001
650.4,3658,5.2,-6.3,43.0,3.69,230.0,69.0,314.8,326.9,315.5,8.0989868028104,0.010497542814804672,52.85706657520947,44.35234506837122,-2.8989868028103842,278.97653801499996,283.04996500396595,30.478804982196856 meter ** 2 / second ** 2,,-1.3000000000000003
636.0,3841,3.8,-7.2,44.0,3.52,230.0,70.0,315.2,326.8,315.9,7.254047353202757,0.01012818318380066,53.62311101832845,44.995132678057765,-3.454047353202725,277.54466704,282.1364373230169,45.07317359929065 meter ** 2 / second ** 2,,-1.3
624.0,3995,2.6,-11.4,35.0,2.58,230.0,72.0,315.5,324.2,316.0,6.528159884518481,0.009816464277117408,55.15519990456641,46.280707897430844,-3.9281598845184362,276.18397535,281.3528847905322,66.57836835191716 meter ** 2 / second ** 2,,-1.9
603.2,4267,-0.0,-12.6,38.0,2.42,230.0,74.0,315.6,323.7,316.0,5.236625012396683,0.00927903723596546,56.68728879080437,47.56628311680392,-5.236625012396701,273.55322402999997,279.96235252668237,14.235571481172379 meter ** 2 / second ** 2,,-2.75
581.0,4567,-2.9,-13.9,42.0,2.26,235.0,72.0,315.6,323.2,316.0,3.792210510566536,0.008699814065511152,58.978947188807396,41.29750341727534,-6.692210510566497,270.62256665,278.4119114109499,82.92974382389296 meter ** 2 / second ** 2,,-1.65
574.0,4663,-3.3,-16.3,36.0,1.88,236.0,71.0,316.2,322.6,316.6,3.3123058034137625,0.00851042434214894,58.86166765140797,39.70269614642301,-6.61230580341379,270.15946397999994,277.8975208409813,371.64285827143334 meter ** 2 / second ** 2,,-1.2500000000000002
558.6,4877,-5.4,-16.5,41.0,1.9,240.0,69.0,316.2,322.7,316.6,2.238155817049247,0.008098123381505368,59.755752861126254,34.50000000000003,-7.63815581704921,268.06032224999996,276.7485334478523,63.52635035598082 meter ** 2 / second ** 2,,-1.1
558.0,4886,-5.5,-16.5,42.0,1.9,240.0,69.0,316.2,322.7,316.6,2.1946530890212075,0.008081524609544864,59.755752861126254,34.50000000000003,-7.6946530890211875,267.96020634999996,276.7020278889489,216.76412264560287 meter ** 2 / second ** 2,,-0.8499999999999996
543.0,5099,-7.1,-20.1,35.0,1.44,243.0,71.0,316.8,321.8,317.0,1.105392100983473,0.007676806287584531,63.261463217374114,32.23332548150783,-8.205392100983488,266.2836983199999,275.53968946725917,288.18726751900897 meter ** 2 / second ** 2,,-1.1
524.0,5377,-7.7,-29.7,15.0,0.63,246.0,72.0,319.3,321.6,319.4,-0.32952305208709043,0.0071650219868448755,65.77527295026727,29.285038301457607,-7.370476947912891,265.55201243499994,274.01288342454677,95.54610296792063 meter ** 2 / second ** 2,,-1.2999999999999998
500.0,5740,-9.7,-33.7,12.0,0.45,250.0,75.0,321.1,322.8,321.2,-2.2381629113990567,0.006521426747941164,70.47694655894313,25.651510749425142,-7.46183708860093,263.52231702499995,271.98954342604225,287.48859814214006 meter ** 2 / second ** 2,,-1.1
496.0,5802,-9.9,-34.9,11.0,0.4,250.0,75.0,321.6,323.2,321.7,-2.5788825964491413,0.006409141180616149,70.47694655894313,25.651510749425142,-7.321117403550829,263.314233,271.6289357829611,33.111758672813565 meter ** 2 / second ** 2,,-1.25
477.0,6096,-12.2,-37.0,11.0,0.34,250.0,76.0,322.4,323.7,322.4,-4.216955883158025,0.005892634080269479,71.41663917972905,25.993530892750808,-7.983044116841938,261.00412103,269.8997257696968,26.386469157249934 meter ** 2 / second ** 2,,-6.3999999999999995
400.0,7420,-22.7,-46.7,9.0,0.14,250.0,81.0,325.4,326.0,325.4,-11.254470011941546,0.004063171688014498,76.11510228365859,27.70363160937915,-11.445529988058468,250.47138842999996,262.5446471546841,61.88191652509353 meter ** 2 / second ** 2,,-6.15
389.0,7620,-24.5,-48.7,9.0,0.12,250.0,80.0,325.7,326.2,325.7,-12.552972970190863,0.003762957349108333,75.17540966287268,27.361611466053482,-11.947027029809135,248.66820118,261.19520248359987,311.0237082241218 meter ** 2 / second ** 2,,-3.9000000000000004
