pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg]
599.0,4331,0.4,-16.6,27.0,1.75,241.0,79.0,316.7,322.7,317.0,5.718188810256409,0.00966765040559175,69.09495686401227,38.29995999946061,5.3181888102564585,273.84201462499993,280.51274890703786,,
574.0,4672,-1.3,-24.3,16.0,0.94,243.0,77.0,318.6,321.9,318.8,4.100811458278825,0.009003285863854852,68.60750236250432,34.957268479945114,5.400811458278838,272.00587878999994,278.773474128321,,
559.2,4877,-3.3,-25.2,17.0,0.89,245.0,75.0,318.6,321.8,318.8,3.0852021612786116,0.008597718511162138,67.97308402774877,31.696369630552436,6.385202161278642,269.99650156499996,277.68394759302316,,
533.0,5255,-6.9,-26.9,19.0,0.8,245.0,77.0,318.7,321.6,318.8,1.2198834333021802,0.007888109625135076,69.78569960182206,32.541606154033836,8.119883433302164,266.37993,275.69008186150023,,
500.0,5750,-10.5,-31.5,16.0,0.55,245.0,80.0,320.2,322.2,320.3,-1.2947912863807058,0.006995796452826239,72.50462296293202,33.809460939255935,9.2052087136193,262.738119075,273.01533337354795,,
477.9,6096,-13.1,-34.1,15.0,0.45,245.0,81.0,321.1,322.8,321.2,-3.1406807647751194,0.0063796299273608465,73.41093074996866,34.23207920099663,9.959319235224882,260.12138372499993,271.06008055075705,,
460.0,6387,-15.3,-36.3,15.0,0.38,245.0,81.0,321.9,323.3,322.0,-4.738744913489217,0.005874776976697742,73.41093074996866,34.23207920099663,10.561255086510812,257.9097696299999,269.37313740612876,,
420.0,7069,-19.7,-39.7,15.0,0.29,245.0,81.0,324.7,325.9,324.8,-8.52000332347242,0.004806411739069136,73.41093074996866,34.23207920099663,11.179996676527594,253.494835305,265.40586831727444,,
400.0,7430,-22.5,-43.5,13.0,0.2,245.0,81.0,325.7,326.5,325.7,-10.685526977975947,0.00425264126757127,73.41093074996866,34.23207920099663,11.81447302202406,250.68057929999998,263.14533504406336,,
389.6,7620,-24.1,-44.7,13.0,0.18,245.0,82.0,326.0,326.8,326.1,-11.899655360263054,0.003961152148905246,74.31723853700531,34.65469746273733,12.200344639736926,249.07734568999996,261.8816045818208,,
